Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;09 Cataluña;Septiembre;Mujeres;2.437
Total Nacional;09 Cataluña;Octubre;Total;5.294
Total Nacional;09 Cataluña;Octubre;Hombres;2.688
Total Nacional;09 Cataluña;Octubre;Mujeres;2.606
Total Nacional;09 Cataluña;Noviembre;Total;5.713
Total Nacional;09 Cataluña;Noviembre;Hombres;2.836
Total Nacional;09 Cataluña;Noviembre;Mujeres;2.877
Total Nacional;09 Cataluña;Diciembre;Total;6.718
Total Nacional;09 Cataluña;Diciembre;Hombres;3.382
Total Nacional;09 Cataluña;Diciembre;Mujeres;3.336
Total Nacional;10 Comunitat Valenciana;Total;Total;49.733
Total Nacional;10 Comunitat Valenciana;Total;Hombres;25.917
Total Nacional;10 Comunitat Valenciana;Total;Mujeres;23.816
Total Nacional;10 Comunitat Valenciana;Enero;Total;7.484
Total Nacional;10 Comunitat Valenciana;Enero;Hombres;3.916
Total Nacional;10 Comunitat Valenciana;Enero;Mujeres;3.568
Total Nacional;10 Comunitat Valenciana;Febrero;Total;4.826
Total Nacional;10 Comunitat Valenciana;Febrero;Hombres;2.518
Total Nacional;10 Comunitat Valenciana;Febrero;Mujeres;2.308
Total Nacional;10 Comunitat Valenciana;Marzo;Total;3.783
Total Nacional;10 Comunitat Valenciana;Marzo;Hombres;2.011
Total Nacional;10 Comunitat Valenciana;Marzo;Mujeres;1.772
Total Nacional;10 Comunitat Valenciana;Abril;Total;3.405
Total Nacional;10 Comunitat Valenciana;Abril;Hombres;1.769
Total Nacional;10 Comunitat Valenciana;Abril;Mujeres;1.636
Total Nacional;10 Comunitat Valenciana;Mayo;Total;3.479
Total Nacional;10 Comunitat Valenciana;Mayo;Hombres;1.849
Total Nacional;10 Comunitat Valenciana;Mayo;Mujeres;1.630
Total Nacional;10 Comunitat Valenciana;Junio;Total;3.370
Total Nacional;10 Comunitat Valenciana;Junio;Hombres;1.720
Total Nacional;10 Comunitat Valenciana;Junio;Mujeres;1.650
Total Nacional;10 Comunitat Valenciana;Julio;Total;3.781
Total Nacional;10 Comunitat Valenciana;Julio;Hombres;1.951
Total Nacional;10 Comunitat Valenciana;Julio;Mujeres;1.830
Total Nacional;10 Comunitat Valenciana;Agosto;Total;3.960
Total Nacional;10 Comunitat Valenciana;Agosto;Hombres;2.043
